agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
TRUE,2020-01-22T16:55:53.194Z,-1,1,9,1999-06-29T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,1,TRUE,0,1,1966-01-01T00:00:00.000Z,1996-09-09T00:00:00.000Z,5030.11,0,0,TRUE,7,TRUE,150000,38000,1999,TRUE,5530,0,5030.11,133500,1,N,0,0,0,0,0,NA,135,0,0,TRUE,Flooding,15000,0,135163,NA,"SAVANNAH, CITY OF",97,NA,1,150000,0,A,TRUE,0,NA,0,FALSE,GA,Currently Unavailable,31419,13051,13051004212,130510042123,32,-81.2,3ab602a2-9156-46ce-91b2-afdac64e3135
TRUE,2020-01-22T16:55:53.194Z,-1,1,-1,2005-08-29T00:00:00.000Z,TRUE,NA,1,11,AE,TRUE,-1,NA,12,4,TRUE,0,1,1970-01-01T00:00:00.000Z,2003-06-20T00:00:00.000Z,169400,0,0,TRUE,1,TRUE,169400,0,2005,TRUE,208743,5,169400,218196,1,N,0,0,0,0,0,NA,653,0,0,TRUE,Hurricane Katrina,30000,0,285256,NA,JACKSON COUNTY*,NA,NA,1,220400,0,A,TRUE,5,NA,0,FALSE,MS,Currently Unavailable,39564,28059,28059040400,280590404003,30.4,-88.8,c11d5fd9-7761-4fac-a807-8ea2d293c889
TRUE,2020-01-22T16:55:53.194Z,-1,1,-1,1999-01-11T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,1,TRUE,10,1,1965-01-01T00:00:00.000Z,1994-08-06T00:00:00.000Z,283.54,0,0,TRUE,7,TRUE,150000,38000,1999,TRUE,783,0,283.54,120000,1,N,0,0,0,0,0,NA,0,0,0,TRUE,NA,15000,0,120221,NA,"PALM BEACH GARDENS, CITY OF",97,NA,1,150000,0,R,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,33410,12099,12099000903,120990009032,26.8,-80.1,84e6e266-e083-4bcf-b6e9-e80f85acda50
TRUE,2019-10-19T03:42:08.849Z,-1,1,-1,1995-10-04T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,2,TRUE,10,1,1955-01-01T00:00:00.000Z,1993-09-01T00:00:00.000Z,NA,NA,NA,TRUE,7,TRUE,100000,25000,1995,TRUE,500,0,0,100000,1,N,0,0,0,0,0,NA,586,0,0,TRUE,Hurricane Opal,0,0,120337,NA,"MARY ESTHER, CITY OF",97,01,1,0,0,A,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,32569,12091,12091022700,120910227003,30.4,-86.6,f9d702fc-b650-41bb-a5aa-63fa891a2887
TRUE,2020-01-22T16:55:53.194Z,-1,1,7,1999-06-15T00:00:00.000Z,TRUE,NA,-16,16,AE,TRUE,-1,NA,0,2,TRUE,10,1,1962-01-01T00:00:00.000Z,1995-09-02T00:00:00.000Z,2444.33,0,0,TRUE,1,TRUE,185000,40000,1999,TRUE,3444,1,2444.33,175750,1,N,0,1,0,0,0,NA,0,0,0,TRUE,NA,15000,0,450109,NA,"MYRTLE BEACH, CITY OF",97,NA,1,185000,0,A,TRUE,0,NA,0,FALSE,SC,Currently Unavailable,29577,45051,45051050500,450510505002,33.7,-78.8,42fe2fbe-71a6-487d-9857-ab9639aa3852
TRUE,2020-01-22T16:55:53.194Z,-1,1,8,2004-09-16T00:00:00.000Z,TRUE,NA,1,8,AE,TRUE,-1,6.6,9,2,TRUE,0,1,2000-12-01T00:00:00.000Z,2001-06-13T00:00:00.000Z,156093.69,19848.23,0,TRUE,1,TRUE,250000,82700,2004,TRUE,156593,0,156093.69,200000,1,N,20348,0,19848.23,0,0,NA,643,0,0,TRUE,Hurricane Ivan,30000,0,120082,NA,"PENSACOLA, CITY OF",NA,NA,1,250000,0,A,TRUE,0,NA,1,FALSE,FL,Currently Unavailable,32502,12033,12033000100,120330001001,30.4,-87.2,95af9bf9-8e0b-4aca-b91b-122466999444
TRUE,2019-09-19T13:45:58.425Z,-1,1,-1,1989-05-17T00:00:00.000Z,TRUE,1,-1,NA,AE,TRUE,-1,NA,NA,1,TRUE,10,1,1960-07-01T00:00:00.000Z,1987-07-30T00:00:00.000Z,19072,0,0,TRUE,1,TRUE,25700,0,1989,TRUE,19572,0,19072,84640,1,N,0,0,0,0,0,NA,886,0,0,TRUE,Flooding,0,0,485454,NA,"ARLINGTON, CITY OF",NA,NA,0,0,0,A,TRUE,2,NA,0,FALSE,TX,Currently Unavailable,76010,48439,48439122400,484391224005,32.7,-97.1,72adeacf-d666-42f1-a7b2-4c282dad2eca
TRUE,2020-01-22T16:55:53.194Z,-1,1,9,1998-09-28T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,2,TRUE,10,1,1977-01-01T00:00:00.000Z,1996-07-06T00:00:00.000Z,2229.49,103.65,0,TRUE,7,TRUE,250000,60000,1998,TRUE,2729,0,2229.49,230000,1,N,603,0,103.65,0,0,NA,133,0,0,TRUE,Hurricane Georges (Panhandle),15000,0,120080,NA,ESCAMBIA COUNTY*,NA,NA,1,250000,0,A,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,32507,12033,12033002603,120330026031,30.3,-87.4,2676e889-c516-4ef8-8582-6712df4224bb
TRUE,2020-01-22T16:55:53.194Z,2,1,-1,1998-02-23T00:00:00.000Z,TRUE,NA,-1,NA,AE,TRUE,-1,NA,NA,3,TRUE,10,1,1920-01-01T00:00:00.000Z,1998-01-08T00:00:00.000Z,16540.76,4846.87,0,TRUE,1,TRUE,50000,25000,1998,TRUE,17290,9,16540.76,44500,1,N,5596,9,4846.87,0,0,NA,612,0,0,TRUE,Pineapple Express - Southern,15000,0,065038,NA,"LAKEPORT, CITY OF",NA,NA,1,50000,0,A,TRUE,0,NA,0,FALSE,CA,Currently Unavailable,95453,06033,06033000400,060330004001,39.1,-122.9,d1dfcfac-b0dc-4eb6-9bd9-b4c6adffcd02
TRUE,2020-01-22T16:55:53.194Z,1,1,7,1998-02-02T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,2,TRUE,0,1,1971-01-01T00:00:00.000Z,1996-12-29T00:00:00.000Z,79991.09,25000,0,TRUE,7,TRUE,100000,25000,1998,TRUE,80491,0,79991.09,93000,1,N,25500,0,25000,0,0,NA,612,0,0,TRUE,Pineapple Express - Southern,15000,0,060195,NA,MONTEREY COUNTY *,NA,NA,1,100000,0,R,TRUE,0,NA,1,FALSE,CA,Currently Unavailable,93923,06053,06053011602,060530116022,36.5,-121.9,43d77267-fa69-4d84-89df-af6b81c4be38
TRUE,2019-09-19T13:45:58.425Z,1,1,-1,1997-07-19T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,2,TRUE,10,1,1955-01-01T00:00:00.000Z,1997-04-10T00:00:00.000Z,413.07,0,0,TRUE,7,TRUE,20000,5000,1997,TRUE,913,0,413.07,16000,1,N,0,0,0,0,0,NA,0,0,0,TRUE,NA,0,0,300017,NA,ANACONDA-DEER LODGE COUNTY*,97,NA,1,20000,0,R,TRUE,0,NA,0,FALSE,MT,Currently Unavailable,59711,30023,30023000400,300230004001,46.1,-113,2ff1c9d8-3ce0-414a-8fd5-dda2e8144440
TRUE,2020-01-22T16:55:53.194Z,-1,1,-1,2004-09-08T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,1,TRUE,10,1,1984-01-01T00:00:00.000Z,1996-10-16T00:00:00.000Z,8539.86,578.76,0,TRUE,7,TRUE,30000,8000,2004,TRUE,9039,0,8539.86,63200,1,N,1078,0,578.76,0,0,NA,0,0,0,TRUE,NA,30000,0,370010,NA,AVERY COUNTY *,NA,NA,1,79000,0,A,TRUE,0,NA,0,FALSE,NC,Currently Unavailable,28646,37011,37011930200,370119302003,36,-81.9,e650ef8a-eb5c-4411-88cd-45d0d6c460b6
TRUE,2020-01-22T16:55:53.194Z,-1,1,-1,2004-09-16T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,1,TRUE,10,1,1984-01-01T00:00:00.000Z,1996-10-16T00:00:00.000Z,30000,8000,9700,TRUE,7,TRUE,30000,8000,2004,TRUE,44836,0,30000,56000,1,N,9588,0,8000,0,0,NA,188,0,0,TRUE,Tropical Storm Ivan,30000,9700,370010,NA,AVERY COUNTY *,NA,NA,1,70000,0,A,TRUE,0,NA,0,FALSE,NC,Currently Unavailable,28646,37011,37011930200,370119302003,36,-81.9,754a2aaa-7e0b-4233-a72b-9ce710563ade
TRUE,2019-09-19T17:00:12.388Z,-1,1,-1,1994-07-10T00:00:00.000Z,TRUE,NA,0,7,AE,TRUE,-1,NA,7.2,1,TRUE,10,1,1983-01-01T00:00:00.000Z,1993-10-19T00:00:00.000Z,18653.27,0,0,TRUE,1,TRUE,70000,0,1994,TRUE,25783,5,18653.27,70000,2,N,0,0,0,0,0,NA,963,0,0,TRUE,Tropical Storm Alberto,0,0,120317,NA,WALTON COUNTY *,NA,NA,1,0,0,R,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,32462,12131,12131950501,121319505011,30.4,-86.1,ba5cc24f-014d-4ac1-992b-6268ce573772
