disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,id,hash,lastRefresh
2463,2002-09-19T00:00:00.000Z,SIERRA FIRE,2002-09-18T00:00:00.000Z,2002-09-22T00:00:00.000Z,Fire Suppression,CA,California                    ,Fire,2002-10-02T00:00:00.000Z,2007-04-24T00:00:00.000Z,2007-04-03T00:00:00.000Z,9,0,0,1,0,f59a1835-febe-4c87-b066-ed870048a4b8,5844239370adb8ee60dac003a327f51da87c990b,2023-09-28T23:41:26.075Z
1432,2002-09-10T00:00:00.000Z,"SEVERE STORMS, TORNADOES AND FLOODING",2002-09-02T00:00:00.000Z,2002-09-06T00:00:00.000Z,Major Disaster,WI,Wisconsin                     ,Tornado,2002-09-09T00:00:00.000Z,2011-01-06T00:00:00.000Z,2011-01-03T00:00:00.000Z,5,0,1,1,1,e5773d9d-2eb4-4d42-a9aa-8455f7d7edb5,ca102f47fd3bea03c1782dc9157658b16bfe1b25,2023-09-28T23:41:26.075Z
1431,2002-09-10T00:00:00.000Z,"SEVERE STORMS, FLOODING AND TORNADOES",2002-06-08T00:00:00.000Z,2002-08-11T00:00:00.000Z,Major Disaster,ND,North Dakota                  ,Severe Storm,2002-08-27T00:00:00.000Z,2010-06-14T00:00:00.000Z,2010-06-08T00:00:00.000Z,8,0,0,1,1,9a1ae25d-c5f0-44c8-ab02-3a08471f1cfc,424162f7d7540a53209bdcc175256b535b6abb8d,2023-09-28T23:41:26.075Z
2462,2002-09-04T00:00:00.000Z,LEONA FIRE,2002-09-03T00:00:00.000Z,2002-09-12T00:00:00.000Z,Fire Suppression,CA,California                    ,Fire,2002-09-11T00:00:00.000Z,2007-04-24T00:00:00.000Z,2007-04-03T00:00:00.000Z,9,0,0,1,0,b495d7b9-1d2e-443f-ae78-4149427a589b,ba353c43bfa115fbed359added716ecc57c7ff74,2023-09-28T23:41:26.075Z
2461,2002-09-04T00:00:00.000Z,SQUIRREL FIRE,2002-09-03T00:00:00.000Z,2002-09-10T00:00:00.000Z,Fire Suppression,CA,California                    ,Fire,2002-09-11T00:00:00.000Z,2007-04-24T00:00:00.000Z,2007-04-03T00:00:00.000Z,9,0,0,1,0,b015b6ff-044f-4297-b6d6-a3ce9e705a97,375cba9e8ef5bea27b822c29a6cf8f5b0aabfe80,2023-09-28T23:41:26.075Z
2460,2002-08-31T00:00:00.000Z,WY - COMMISSARY RIDGE FIRE - 08/31/02,2002-08-29T00:00:00.000Z,2002-09-15T00:00:00.000Z,Fire Suppression,WY,Wyoming                       ,Fire,2002-09-11T00:00:00.000Z,2005-10-18T00:00:00.000Z,2005-09-30T00:00:00.000Z,8,0,0,1,0,a1d9c771-adf1-4972-8a03-8e8b47cb9f5c,a8760aed70e1e7a2a8664dd33e02a79fa9835f46,2023-09-28T23:41:26.075Z
2459,2002-08-26T00:00:00.000Z,NM - LAKES FIRE COMPLEX - 08/26/02,2002-08-26T00:00:00.000Z,2002-09-11T00:00:00.000Z,Fire Suppression,NM,New Mexico                    ,Fire,2002-09-16T00:00:00.000Z,2005-03-16T00:00:00.000Z,2005-01-11T00:00:00.000Z,6,0,0,1,0,0356b9c6-a56e-485f-8498-6a74321fa15f,f04347f7ed33329aef78130969e36423d75bd9ce,2023-09-28T23:41:26.075Z
2458,2002-08-18T00:00:00.000Z,SD - BATTLE CREEK FIRE - 08/18/02,2002-08-16T00:00:00.000Z,2002-08-29T00:00:00.000Z,Fire Suppression,SD,South Dakota                  ,Fire,2002-09-11T00:00:00.000Z,2006-01-03T00:00:00.000Z,2005-12-21T00:00:00.000Z,8,0,0,1,0,b0299918-9385-4d41-bc85-ce7de1bec7fb,86236a0a1a19bccd0cc07274d18dbe6de62756ab,2023-09-28T23:41:26.075Z
1430,2002-08-06T00:00:00.000Z,TYPHOON CHATA'AN,2002-07-04T00:00:00.000Z,2002-07-05T00:00:00.000Z,Major Disaster,MP,Northern Mariana Islands      ,Typhoon,2002-08-06T00:00:00.000Z,2010-06-14T00:00:00.000Z,2010-06-08T00:00:00.000Z,9,0,0,1,1,77d31f79-a929-4c97-96a7-538793e85ac0,7ccca0d1a2faaa8d259f15e4699e37ea17619dc2,2023-09-28T23:41:26.075Z
2457,2002-07-31T00:00:00.000Z,CO - PANORAMA FIRE - 07/31/02,2002-07-31T00:00:00.000Z,2002-08-04T00:00:00.000Z,Fire Suppression,CO,Colorado                      ,Fire,2002-08-05T00:00:00.000Z,2010-07-14T00:00:00.000Z,2010-07-07T00:00:00.000Z,8,0,0,1,0,6fe3feb2-0258-44eb-911c-5017bfa0cc0b,79b0955c2ecc3847cc0359e541992770840f0551,2023-09-28T23:41:26.075Z
