id,declarationTitle,incidentType,state,declarationType,declarationDate,incidentBeginDate,incidentEndDate
11e15080-e1c2-4e5d-bdb1-2cea746b074a,COTTONWOOD FIRE COMPLEX,Fire,KS,FM,2022-03-05,2022-03-05,NA
65c8bf1f-8769-4392-b02c-2952c0157224,COTTONWOOD FIRE COMPLEX,Fire,KS,FM,2022-03-05,2022-03-05,NA
8dae1b79-6a89-492b-9fc1-13d5989c3567,1707 ADKINS AVE FIRE,Fire,FL,FM,2022-03-04,2022-03-04,2022-04-01
680fd661-4767-4308-aebd-75db978b6ba7,MARSHALL FIRE,Fire,CO,FM,2021-12-30,2021-12-30,NA
38ede7ba-2566-4d88-af2d-4e1de7870e5e,NORTH 207 FIRE,Fire,TX,FM,2021-12-15,2021-12-15,2021-12-19
22443717-7b60-47f3-aff7-d59d827349ae,COBB FIRE,Fire,OK,FM,2021-12-15,2021-12-15,NA
b924b909-4e99-4fd8-b991-99e8efa7df8c,COUNTY LINE FIRE,Fire,TX,FM,2021-12-10,2021-12-10,2021-12-12
2968a036-21c4-454f-b304-0b1072b5c4b5,ALISAL FIRE,Fire,CA,FM,2021-10-13,2021-10-12,2021-11-17
2a7117ae-5e64-4488-b09e-7a67ba6640b4,AUBURN FIRE,Fire,SD,FM,2021-10-04,2021-10-04,2021-10-10
eb42eb50-3338-4546-a0fe-7c00b35e3fb7,FAWN FIRE,Fire,CA,FM,2021-09-23,2021-09-23,2021-09-28
a4e843e2-98b7-4319-9637-da8d7becbb48,FRENCH FIRE,Fire,CA,FM,2021-08-25,2021-08-24,2021-09-06
a18a9220-2789-4751-b89e-e830df6e3c81,SCHNEIDER SPRINGS FIRE,Fire,WA,FM,2021-08-19,2021-08-19,2021-09-27
32e15f33-0546-4645-8837-890548a0fb3d,TWENTYFIVE MILE FIRE,Fire,WA,FM,2021-08-18,2021-08-17,2021-09-13
975448f7-1bfa-4153-b90a-dda32de7bb6a,CALDOR FIRE,Fire,CA,FM,2021-08-17,2021-08-14,NA
1e7d5caa-8b86-472a-9458-1522cc522f96,MONUMENT FIRE,Fire,CA,FM,2021-08-17,2021-08-17,NA
f5d360a0-5f3f-47e6-8d73-24f024495a5c,FORD CORKSCREW FIRE,Fire,WA,FM,2021-08-16,2021-08-16,2021-08-29
107873b0-b126-4890-8820-87e383e65cae,MUCKAMUCK FIRE,Fire,WA,FM,2021-08-16,2021-08-15,2021-09-01
ba6b433a-5f50-406e-b0b3-e95e02fb65af,PATTON MEADOW FIRE,Fire,OR,FM,2021-08-16,2021-08-15,2021-08-31
