disasterNumber,stateCode,incidentType,declarationType,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp
3457,OH,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3456,IN,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3452,PR,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3451,NJ,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3449,DE,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3448,VA,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3447,DC,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3445,NH,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3444,ME,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3443,NV,Biological,Emergency,NA,NA,NA,NA,834941.02,834941.02,NA,NA
3442,AZ,Biological,Emergency,NA,NA,NA,NA,2560819.03,2535646.13,NA,NA
3441,PA,Biological,Emergency,NA,NA,NA,NA,0,NA,NA,NA
3440,RI,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3439,CT,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3438,MA,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3437,VT,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3436,CO,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3434,NY,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3433,VI,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3432,FL,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3431,HI,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3430,MD,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3429,OR,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3428,CA,Biological,Emergency,NA,NA,NA,NA,8673825.07,8550155.82,NA,NA
3427,WA,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3472,AL,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3470,SC,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3468,FL,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3466,GU,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3465,AS,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3455,MI,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3454,WI,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3453,MN,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3450,WV,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3435,IL,Biological,Emergency,NA,NA,NA,NA,0,NA,NA,NA
3467,ID,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3446,AK,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3464,GA,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4478,MS,Severe Storm,Major Disaster,NA,NA,NA,NA,8774854.59,4143788.26,4195394.61,420026.4
4477,WI,Flood,Major Disaster,NA,NA,NA,NA,5393346.7,273501.98,4325060.37,914831.3
5306,OK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4476,TN,Tornado,Major Disaster,NA,NA,NA,NA,80420143.94,28378795.22,50108081.36,1607193.76
4475,ND,Flood,Major Disaster,NA,NA,NA,NA,12873605.7,1668346.47,9945773.69,2345068.43
4474,VT,Severe Storm,Major Disaster,NA,NA,NA,NA,23337754.89,795479.55,20646895.97,1264281.07
4473,PR,Earthquake,Major Disaster,NA,NA,NA,NA,916568607.9,438284635,419604080.4,31199074.22
3426,PR,Earthquake,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4472,NY,Severe Storm,Major Disaster,NA,NA,NA,NA,78195124.06,7080649.96,62566559.89,7634639.83
4471,TN,Severe Storm,Major Disaster,NA,NA,NA,NA,13796689.98,4572387.12,7950096.85,186467.2
4470,MS,Severe Storm,Major Disaster,NA,NA,NA,NA,13847109.82,6095172.05,6960599.69,476881.13
5305,OK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5304,OK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,1538236.88
4469,SD,Severe Storm,Major Disaster,NA,NA,NA,NA,18558878.53,2065600.24,15725929.94,2989996
4468,FL,Hurricane,Major Disaster,NA,NA,NA,NA,92453214.83,59724872.92,27120019.12,9703550.91
3425,MP,Typhoon,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4467,SD,Severe Storm,Major Disaster,NA,NA,NA,NA,2693880.93,78895.76,2463852.25,161357.81
3424,MP,Typhoon,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4466,TX,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,5179744.74
4465,NC,Hurricane,Major Disaster,NA,NA,NA,NA,65958430.95,21463021.47,38470770.58,10429672.41
4464,SC,Hurricane,Major Disaster,NA,NA,NA,NA,41926969.66,27707097.05,9134831.83,4103320.54
4463,SD,Flood,Major Disaster,NA,NA,NA,NA,6593880.51,1110881.38,5118319.09,1227537.3
4462,LA,Flood,Major Disaster,NA,NA,NA,NA,19942970.51,11889475.83,5724608.8,449777.36
4461,IL,Flood,Major Disaster,NA,NA,NA,NA,67082453.88,34683441.39,26520254.19,4652773.01
4460,AR,Flood,Major Disaster,NA,NA,NA,NA,5877299.51,259592.44,4785165.16,840380.09
3423,NC,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3422,GA,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3421,SC,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3420,FL,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
5292,UT,Fire,Fire Management,NA,NA,NA,NA,329786.2,2207.19,NA,491045
3419,FL,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3418,VI,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3417,PR,Severe Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4459,WI,Flood,Major Disaster,NA,NA,NA,NA,18386283.85,11096761.09,5531106,3639288.53
4458,LA,Hurricane,Major Disaster,NA,NA,NA,NA,52585335.88,36168997.69,10710981.39,824869
5291,NV,Fire,Fire Management,NA,NA,NA,NA,316352.28,NA,NA,0
