disasterNumber,stateCode,incidentType,declarationType,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp
4734,FL,Hurricane,Major Disaster,NA,NA,NA,NA,294376195.9,274661304.5,3086.25,3210378.19
4738,GA,Hurricane,Major Disaster,NA,NA,NA,NA,11590253.2,10250260.29,12787.5,0
4744,VT,Flood,Major Disaster,NA,NA,NA,NA,101696.07,18867.75,0,0
4745,MT,Flood,Major Disaster,NA,NA,NA,NA,343454.66,87967.48,115839,0
3399,HI,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4120,VT,Flood,Major Disaster,NA,NA,NA,NA,1914682.79,156257.5,1714406.99,274639.01
4724,HI,Fire,Major Disaster,NA,NA,NA,NA,163789571.7,110881046.3,45554091.01,0
4288,WI,Flood,Major Disaster,NA,NA,NA,NA,9038145.25,524284.1,8229080.8,1534196.17
4746,CA,Tropical Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4728,IL,Severe Storm,Major Disaster,NA,NA,NA,NA,6332244.53,2534756.17,2170600.7,0
4740,NH,Flood,Major Disaster,NA,NA,NA,NA,499712.49,18027.42,311009.22,0
4673,FL,Hurricane,Major Disaster,NA,NA,NA,NA,2103296546,1996564701,56222600.08,10435178.48
1968,CA,Tsunami,Major Disaster,NA,NA,NA,NA,37703713.52,9391241.13,27270667.39,4257267.97
3601,GU,Tropical Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3602,MP,Tropical Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4730,AK,Flood,Major Disaster,NA,NA,NA,NA,450706.65,NA,359839.5,0
4292,PA,Flood,Major Disaster,NA,NA,NA,NA,25541185.85,1319866.18,23835424.48,3141703.03
4731,CO,Flood,Major Disaster,NA,NA,NA,NA,2821536.01,67325.16,2036010.8,0
3485,NM,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3563,RI,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4748,AR,Severe Storm,Major Disaster,NA,NA,NA,NA,390991.14,3106.84,NA,0
5155,CO,Fire,Fire Management,NA,NA,NA,NA,1143555.26,NA,NA,316730.66
1605,AL,Hurricane,Major Disaster,NA,NA,NA,NA,118841849,51144382.5,64892845.78,59190787.04
3412,KS,Severe Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3548,MS,Hurricane,Emergency,NA,NA,NA,NA,83091.21,81291.3,NA,NA
5441,AZ,Fire,Fire Management,NA,NA,NA,NA,390871.07,20851.81,NA,0
5435,AZ,Fire,Fire Management,NA,NA,NA,NA,4072541.39,NA,NA,0
5434,AZ,Fire,Fire Management,NA,NA,NA,NA,1027110.45,57906.64,NA,126226
5387,AZ,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5385,AZ,Fire,Fire Management,NA,NA,NA,NA,572925.79,31256.69,NA,0
4749,IL,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
3524,IA,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4386,IA,Severe Storm,Major Disaster,NA,NA,NA,NA,15302173.31,2816016.53,11517612.62,3840452.46
5389,AZ,Fire,Fire Management,NA,NA,NA,NA,6511218.25,59668.68,NA,0
5295,CA,Fire,Fire Management,NA,NA,NA,NA,63051706.37,6766023.8,NA,0
5294,HI,Fire,Fire Management,NA,NA,NA,NA,110836.8,9740.22,NA,0
5293,CA,Fire,Fire Management,NA,NA,NA,NA,12048528.2,728556.18,NA,1409582.3
5333,CA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5332,CA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5329,CA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4750,CA,Hurricane,Major Disaster,NA,NA,NA,NA,5092523.13,0,NA,0
5462,NE,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5460,OK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5459,OK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5458,OK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5440,TX,Fire,Fire Management,NA,NA,NA,NA,371317.37,88333.95,NA,0
5421,OK,Fire,Fire Management,NA,NA,NA,NA,195815.29,12002.85,NA,117851
5288,TX,Fire,Fire Management,NA,NA,NA,NA,2658681.22,17115.17,NA,533690.83
5303,CA,Fire,Fire Management,NA,NA,NA,NA,510188.16,154624.67,NA,0
5302,CA,Fire,Fire Management,NA,NA,NA,NA,6976436.27,254101.83,NA,0
5301,CA,Fire,Fire Management,NA,NA,NA,NA,115842.41,30628.69,NA,0
5300,CA,Fire,Fire Management,NA,NA,NA,NA,707892.1,31232.28,NA,0
5299,CA,Fire,Fire Management,NA,NA,NA,NA,393237.24,23712.84,NA,0
5298,CA,Fire,Fire Management,NA,NA,NA,NA,4621331.42,266576.94,NA,0
5297,CA,Fire,Fire Management,NA,NA,NA,NA,6838617.44,738040.19,NA,0
5296,CA,Fire,Fire Management,NA,NA,NA,NA,5580712.68,340429.73,NA,0
5452,ID,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5449,ID,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,248454.78
3600,LA,Other,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4216,KY,Snowstorm,Major Disaster,NA,NA,NA,NA,4314738.44,2843289.44,1335841.56,514543.17
5430,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,228759.53
3493,NE,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3582,MS,Other,Emergency,NA,NA,NA,NA,2947746.78,2942153.03,NA,NA
4747,KS,Severe Storm,Major Disaster,NA,NA,NA,NA,0,0,NA,0
3510,NM,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
5095,AZ,Fire,Fire Management,NA,NA,NA,NA,484775.83,60497.74,NA,290927.42
5086,AZ,Fire,Fire Management,NA,NA,NA,NA,912000.51,20640.11,NA,144710.56
5313,AZ,Fire,Fire Management,NA,NA,NA,NA,666292.63,NA,NA,0
4752,UT,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
1967,HI,Tsunami,Major Disaster,NA,NA,NA,NA,7050406.37,752823.79,6218843.73,851500
4237,SD,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,474007.95
5197,MT,Fire,Fire Management,NA,NA,NA,NA,1495224.55,13989.02,NA,0
4328,OR,Severe Storm,Major Disaster,NA,NA,NA,NA,2962549.72,1903124.39,964504.33,232980.47
5448,NV,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,56700
5402,NV,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5480,MT,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5423,CO,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5406,MT,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5399,MT,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5438,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5437,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5433,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5432,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5431,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5456,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5455,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5447,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5478,HI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5477,HI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5476,HI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5475,HI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4031,NY,Severe Storm,Major Disaster,NA,NA,NA,NA,320422177,39203988.26,276323764.4,26418205.34
5390,NV,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5436,NE,Fire,Fire Management,NA,NA,NA,NA,1231215.45,NA,NA,17708
5425,KS,Fire,Fire Management,NA,NA,NA,NA,464403.62,59032.61,NA,516873.5
5454,OR,Fire,Fire Management,NA,NA,NA,NA,93329.98,0,NA,0
5442,AK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5357,OR,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
3522,LA,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4232,VT,Severe Storm,Major Disaster,NA,NA,NA,NA,1326573.48,26008.29,1250043.19,141656.7
4089,RI,Hurricane,Major Disaster,NA,NA,NA,NA,8734303.07,4789849.95,3621726.12,1213946.54
1949,VI,Severe Storm,Major Disaster,NA,NA,NA,NA,837036.96,139605.49,630147.47,156373
1939,VI,Hurricane,Major Disaster,NA,NA,NA,NA,908945.77,623399.76,270882.07,182310
1807,VI,Hurricane,Major Disaster,NA,NA,NA,NA,7256252.51,5109636.26,1964392.59,824950
5249,CO,Fire,Fire Management,NA,NA,NA,NA,2349031.77,11751.88,NA,0
5248,UT,Fire,Fire Management,NA,NA,NA,NA,15047522.76,232314,NA,0
5246,CO,Fire,Fire Management,NA,NA,NA,NA,16270482.58,34072.55,NA,0
1895,MA,Severe Storm,Major Disaster,NA,NA,NA,NA,25084370.59,12005581.82,12858213.19,10908419.35
3603,VI,Other,Emergency,NA,NA,NA,NA,506422.8,506422.8,NA,NA
3604,CT,Severe Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3570,OK,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4754,ME,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
3530,TX,Hurricane,Emergency,NA,NA,NA,NA,2208510.74,2085708.08,NA,NA
5162,SC,Fire,Fire Management,NA,NA,NA,NA,3336432.89,NA,NA,222771.45
4340,VI,Hurricane,Major Disaster,NA,NA,NA,NA,8652501279,1783876600,6014992871,169138804.2
4335,VI,Hurricane,Major Disaster,NA,NA,NA,NA,66173230.39,54555593.89,6090120.84,29244881.39
1946,PR,Severe Storm,Major Disaster,NA,NA,NA,NA,17541820.75,444762.01,16504549,288278
5486,LA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5484,LA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5446,OR,Fire,Fire Management,NA,NA,NA,NA,933444.35,NA,NA,254063.84
5367,OR,Fire,Fire Management,NA,NA,NA,NA,140176.05,NA,NA,0
4751,TN,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4756,WV,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4757,MI,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4755,NY,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4753,RI,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4021,NJ,Hurricane,Major Disaster,NA,NA,NA,NA,122651525.6,61673820.17,57156658.82,34929457.75
1830,MN,Severe Storm,Major Disaster,NA,NA,NA,NA,29675993.97,9311835.82,19243999.22,3063408
1805,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,38841921.56,32124189.94,6349045.86,4713715
1771,IL,Severe Storm,Major Disaster,NA,NA,NA,NA,53407870.95,26389243.37,26645847.98,6066205
1768,WI,Severe Storm,Major Disaster,NA,NA,NA,NA,48563081.65,13669669.95,34007466,18525751
1717,MN,Severe Storm,Major Disaster,NA,NA,NA,NA,31229991.27,5020333.38,26018147.42,4153948
1580,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,97938844.86,15498901.21,82705823.9,5694936
1556,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,25804256.17,4029934.14,21814740.52,2541082
1453,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,31856038.61,13005035.17,18927692.15,2108337
1419,MN,Severe Storm,Major Disaster,NA,NA,NA,NA,26435703.2,3849174.16,22397523.78,5840208
1370,MN,Flood,Major Disaster,NA,NA,NA,NA,36227572.27,8928827.59,27261029.27,5117141
1369,WI,Flood,Major Disaster,NA,NA,NA,NA,19743137.17,11692409.39,8072012.75,3344251
4077,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,16595662.54,10321385.81,5912592.15,3299351
4002,OH,Severe Storm,Major Disaster,NA,NA,NA,NA,32964612.36,1252767.5,31075830.98,4510495
1982,MN,Flood,Major Disaster,NA,NA,NA,NA,20249390.34,8967827.81,10654952.85,574042
1960,IL,Snowstorm,Major Disaster,NA,NA,NA,NA,48259660.62,46468123.86,1242496.24,4512689.89
1941,MN,Severe Storm,Major Disaster,NA,NA,NA,NA,25078569.96,4190685.38,20063150.44,996035
1702,SD,Severe Storm,Major Disaster,NA,NA,NA,NA,6226611.95,455841.49,5722423.08,2021318
1628,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,154939297.1,28269857.08,118563720.7,5236367.56
1597,ND,Severe Storm,Major Disaster,NA,NA,NA,NA,14394156.16,1144069.7,12525277.39,1091759
1585,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,77765373.82,21740284.62,53645033.32,3238180
1577,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,197423205.1,50225047.74,142460397.8,16609685
1515,ND,Severe Storm,Major Disaster,NA,NA,NA,NA,12621672.3,297264.96,11721614.21,633024
1498,CA,Fire,Major Disaster,NA,NA,NA,NA,108149061.7,85290020.19,20414640.46,7280835
1446,GU,Typhoon,Major Disaster,NA,NA,NA,NA,56986504.09,12598628,42212978.84,31049019
1426,GU,Typhoon,Major Disaster,NA,NA,NA,NA,12698713.54,5084794.82,6625816.2,7923456
1376,ND,Flood,Major Disaster,NA,NA,NA,NA,23460073.66,4220258.24,18158271.52,3517976
1375,SD,Flood,Major Disaster,NA,NA,NA,NA,5097818.74,480755.51,4573840.99,710833
3161,IL,Snowstorm,Emergency,NA,NA,NA,NA,16539984.85,17640374.45,NA,NA
3160,MI,Snowstorm,Emergency,NA,NA,NA,NA,9209100.46,9139348.13,NA,NA
1334,ND,Severe Storm,Major Disaster,NA,NA,NA,NA,39700101.17,3878032.57,35024447.18,9520801
1279,ND,Flood,Major Disaster,NA,NA,NA,NA,48334834.63,3905669.96,43752362,11742244
3134,IL,Snowstorm,Emergency,NA,NA,NA,NA,25469687.41,30318650.49,NA,NA
3587,FL,Tropical Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3584,FL,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3583,PR,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4392,IA,Severe Storm,Major Disaster,NA,NA,NA,NA,2814814.41,1902731.7,471930.62,821332.9
4334,IA,Severe Storm,Major Disaster,NA,NA,NA,NA,5349464.31,1037778.87,4150578.76,1270811.62
4321,NE,Severe Storm,Major Disaster,NA,NA,NA,NA,2727443.3,3249.79,2697493.42,104243.3
4298,SD,Severe Storm,Major Disaster,NA,NA,NA,NA,9837358.31,684944.84,8958498.74,1447192.8
4289,IA,Flood,Major Disaster,NA,NA,NA,NA,16783200.6,9301159,6873685.55,3738576.45
1996,MT,Severe Storm,Major Disaster,NA,NA,NA,NA,42263772.07,3743449.94,38421379.54,7332356.37
1984,SD,Flood,Major Disaster,NA,NA,NA,NA,52125303.31,30268210.99,21054306.61,7676674
1981,ND,Flood,Major Disaster,NA,NA,NA,NA,224355761.7,94967791.86,119773860.4,71549737
1915,SD,Flood,Major Disaster,NA,NA,NA,NA,21498619.82,6370181,14770906.73,2780704
1907,ND,Flood,Major Disaster,NA,NA,NA,NA,19679317.4,2022028.66,15871712.34,58901
1829,ND,Severe Storm,Major Disaster,NA,NA,NA,NA,114432778.9,45073912.12,63742668.39,15009211
1731,CA,Fire,Major Disaster,NA,NA,NA,NA,139746763.8,129969609.4,6686179.13,39755077.23
3565,NY,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3276,FM,Drought,Emergency,NA,NA,NA,NA,79259.86,79259.86,NA,NA
1511,FM,Typhoon,Major Disaster,NA,NA,NA,NA,13797356.33,859301.52,12678864.48,262977
1504,FM,Typhoon,Major Disaster,NA,NA,NA,NA,1225379.55,329528.86,828091.03,57338
1449,FM,Typhoon,Major Disaster,NA,NA,NA,NA,2603436.29,92330.13,2464159.91,0
1427,FM,Typhoon,Major Disaster,NA,NA,NA,NA,2193357.34,245479.87,1899767.97,1810224
1417,FM,Typhoon,Major Disaster,NA,NA,NA,NA,1509686.69,125487.68,1336211.76,218629
3093,FM,Drought,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3473,TN,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3471,NC,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3469,KY,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3463,MP,Biological,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4743,CA,Hurricane,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4742,TN,Severe Storm,Major Disaster,NA,NA,NA,NA,1806835.15,508586.21,441995.86,0
4741,MO,Severe Storm,Major Disaster,NA,NA,NA,NA,990457.35,59513.09,159263.08,0
3599,MA,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3598,ME,Hurricane,Emergency,NA,NA,NA,NA,17033.06,17033.06,NA,NA
4739,WY,Flood,Major Disaster,NA,NA,NA,NA,108847.47,5186.42,32189.21,0
4737,ME,Flood,Major Disaster,NA,NA,NA,NA,183764,NA,NA,0
4736,ME,Flood,Major Disaster,NA,NA,NA,NA,335117.41,NA,10242.41,0
4735,TN,Severe Storm,Major Disaster,NA,NA,NA,NA,862081.34,5828.26,0,0
3597,SC,Hurricane,Emergency,NA,NA,NA,NA,162798.45,162798.45,NA,NA
4733,OR,Mud/Landslide,Major Disaster,NA,NA,NA,NA,0,NA,NA,0
3596,FL,Tropical Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
5485,LA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4732,IA,Flood,Major Disaster,NA,NA,NA,NA,1198231.8,713084.76,82533.68,419793.5
5483,OR,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5482,LA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5481,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5479,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4729,TN,Severe Storm,Major Disaster,NA,NA,NA,NA,1126498.36,263179.51,7065.77,0
4727,MS,Severe Storm,Major Disaster,NA,NA,NA,NA,3087104.79,1543740.81,1117975.74,0
4726,MT,Flood,Major Disaster,NA,NA,NA,NA,507756.76,7161.68,366259.6,0
4725,NJ,Severe Storm,Major Disaster,NA,NA,NA,NA,318004.07,170408.19,146267.22,0
5474,HI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5473,AK,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5472,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5471,OR,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5470,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4723,NY,Severe Storm,Major Disaster,NA,NA,NA,NA,1414273.03,794814.1,617839.15,0
4722,MN,Flood,Major Disaster,NA,NA,NA,NA,5763780.11,649970.75,4383020.04,0
4721,OK,Severe Storm,Major Disaster,NA,NA,NA,NA,5232038.36,742688.25,3876537.28,0
4720,VT,Flood,Major Disaster,NA,NA,NA,NA,2272698.98,1250179.26,935717.31,600000
5469,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
3595,VT,Flood,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4719,ME,Flood,Major Disaster,NA,NA,NA,NA,1925810.54,91382.24,1622501.45,0
4718,SD,Flood,Major Disaster,NA,NA,NA,NA,5264411.53,162575.38,4883717.4,0
4717,ND,Flood,Major Disaster,NA,NA,NA,NA,3055537.37,401040.01,2571171.78,0
5468,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5467,WA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5466,AZ,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4716,MP,Tropical Storm,Major Disaster,NA,NA,NA,NA,1358611.25,539384.39,791654.06,0
4715,GU,Hurricane,Major Disaster,NA,NA,NA,NA,6793853.63,1648979.87,4896531.85,0
4714,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,39447.68,39447.68,0,0
3594,GU,Tropical Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3593,MP,Tropical Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4713,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,21330.68,21330.68,0,0
4712,TN,Severe Storm,Major Disaster,NA,NA,NA,NA,13951764.11,2382760.69,10644113.15,0
5465,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4711,KY,Flood,Major Disaster,NA,NA,NA,NA,6047922.33,140792.7,5242601.84,49973
4710,AL,Severe Storm,Major Disaster,NA,NA,NA,NA,11035587.79,1900495.72,8222729.19,0
4708,NV,Flood,Major Disaster,NA,NA,NA,NA,2079466.04,574711.51,1504754.53,0
4709,FL,Flood,Major Disaster,NA,NA,NA,NA,2702731.44,34150.07,NA,81191.21
4707,CA,Winter Storm,Major Disaster,NA,NA,NA,NA,0,0,NA,0
4706,OK,Tornado,Major Disaster,NA,NA,NA,NA,4397018.02,3581746.61,310555.58,0
4705,TX,Winter Storm,Major Disaster,NA,NA,NA,NA,12812059.66,8346469.13,3929034.74,0
4704,IN,Severe Storm,Major Disaster,NA,NA,NA,NA,7538333.38,2479435.39,4055421.96,0
5464,RI,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5463,KS,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4703,AZ,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4702,KY,Severe Storm,Major Disaster,NA,NA,NA,NA,22682206.11,6015451.63,15177332.6,170826
4701,TN,Severe Storm,Major Disaster,NA,NA,NA,NA,30930350.54,11471177.52,18571711.66,0
4700,AR,Winter Storm,Major Disaster,NA,NA,NA,NA,9207812.98,3643078.43,4917259.84,0
4699,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,15511911.56,6092192.85,4469657.85,62378.46
5461,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4698,AR,Severe Storm,Major Disaster,NA,NA,NA,NA,37807222.73,27305169.31,9840335.8,0
4697,MS,Severe Storm,Major Disaster,NA,NA,NA,NA,47882477.89,39562172.11,7347323.86,24750
4696,ME,Severe Storm,Major Disaster,NA,NA,NA,NA,1890666.67,613937.46,1084651.7,0
4695,VT,Severe Storm,Major Disaster,NA,NA,NA,NA,1495613.14,584657.47,805554.64,0
4694,NY,Snowstorm,Major Disaster,NA,NA,NA,NA,6087073.84,5605423.74,456527.2,0
4693,NH,Severe Storm,Major Disaster,NA,NA,NA,NA,2226892.92,843511.82,1189191.88,0
3592,CA,Flood,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4691,TN,Winter Storm,Major Disaster,NA,NA,NA,NA,5984791.22,624941.68,4443014.55,0
4692,CA,Earthquake,Major Disaster,NA,NA,NA,NA,0,0,0,0
4690,OK,Severe Storm,Major Disaster,NA,NA,NA,NA,264581.77,40953.94,201041.58,0
4689,SD,Winter Storm,Major Disaster,NA,NA,NA,NA,2204301.16,577470.7,1480659.62,0
4688,SD,Winter Storm,Major Disaster,NA,NA,NA,NA,303475.35,277568.91,NA,0
4687,SD,Winter Storm,Major Disaster,NA,NA,NA,NA,808528.23,773196.37,35331.86,0
4686,ND,Snowstorm,Major Disaster,NA,NA,NA,NA,1812985.56,151747.03,1506471.47,0
5457,OR,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
4685,GA,Severe Storm,Major Disaster,NA,NA,NA,NA,34249163.83,20933863.75,11345988.16,0
4684,AL,Severe Storm,Major Disaster,NA,NA,NA,NA,14450756.8,10946817.66,2726159.66,0
4683,CA,Flood,Major Disaster,NA,NA,NA,NA,54210110.4,29598397.59,19052865,2405425.31
4682,WA,Severe Storm,Major Disaster,NA,NA,NA,NA,3805014.71,911477.62,1893454.11,0
3591,CA,Flood,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4681,AZ,Flood,Major Disaster,NA,NA,NA,NA,497553.8,103849.72,393704.08,0
3590,NY,Winter Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4680,FL,Hurricane,Major Disaster,NA,NA,NA,NA,79488592.64,22854412.24,53074990.18,1231448.2
4679,WV,Severe Storm,Major Disaster,NA,NA,NA,NA,2763545.52,310131.67,2188383.01,0
4678,WV,Flood,Major Disaster,NA,NA,NA,NA,1865480.88,28058.03,1614333.5,0
4677,SC,Hurricane,Major Disaster,NA,NA,NA,NA,18156094.3,7696861.81,9147289.53,108397
3589,NY,Winter Storm,Emergency,NA,NA,NA,NA,1038640.49,944816.47,NA,NA
3588,FL,Tropical Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4676,IL,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
3586,NC,Hurricane,Emergency,NA,NA,NA,NA,2098900.47,760834.32,NA,NA
4675,FL,Hurricane,Major Disaster,NA,NA,NA,NA,1360994.43,1360994.43,NA,0
4674,VA,Severe Storm,Major Disaster,NA,NA,NA,NA,3786987.71,2079660.77,722484.99,185141.48
3585,SC,Hurricane,Emergency,NA,NA,NA,NA,0,0,NA,NA
4672,AK,Severe Storm,Major Disaster,NA,NA,NA,NA,5389731.27,294747.32,4971860.17,0
4671,PR,Hurricane,Major Disaster,NA,NA,NA,NA,604463092.4,240694611.5,327499519.6,0
4670,OK,Severe Storm,Major Disaster,NA,NA,NA,NA,NA,NA,NA,0
4669,AS,Severe Storm,Major Disaster,NA,NA,NA,NA,355870.22,186560.74,163637.56,0
5453,CA,Fire,Fire Management,NA,NA,NA,NA,29732512.97,307823.84,NA,0
5451,CA,Fire,Fire Management,NA,NA,NA,NA,20669946.41,112508.17,NA,0
5450,CA,Fire,Fire Management,NA,NA,NA,NA,8080221.72,29537.81,NA,0
4668,AZ,Severe Storm,Major Disaster,NA,NA,NA,NA,815764.95,594090.7,174023.19,0
4667,AK,Flood,Major Disaster,NA,NA,NA,NA,390709.87,175377.72,130919.9,0
4666,MN,Severe Storm,Major Disaster,NA,NA,NA,NA,6545371.66,866687.71,4936067.53,72507
4665,MO,Flood,Major Disaster,NA,NA,NA,NA,25746411.11,2133360.53,21887170.71,5923764.75
4664,SD,Severe Storm,Major Disaster,NA,NA,NA,NA,1642321.05,133009.01,1378169.36,14326.86
4663,KY,Flood,Major Disaster,NA,NA,NA,NA,239362720.2,107909053,112071606.8,68659240.42
4662,NE,Severe Storm,Major Disaster,NA,NA,NA,NA,10040297.22,52228.46,9604318.64,52963
4661,AK,Mud/Landslide,Major Disaster,NA,NA,NA,NA,1119584.47,947377.05,107973,0
3581,VI,Other,Emergency,NA,NA,NA,NA,340169.5,293249.56,NA,NA
5445,CA,Fire,Fire Management,NA,NA,NA,NA,47050419.97,809484.09,NA,0
5444,TX,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
